"optimus_id", "age", "party", "ethnicity", "maritalstatus", "income", "cd", "dma"
861681,69.0,Republican,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
167371,68.0,Democratic,nan,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
974034,69.0,Democratic,European,nan,75k-125k,2.0,RENO DMA (EST.)
313964,36.0,Democratic,African-American,nan,Unknown,4.0,LAS VEGAS DMA (EST.)
547190,30.0,Non-Partisan,Asian,Married,200k+,3.0,LAS VEGAS DMA (EST.)
411609,66.0,Republican,European,Non-Traditional,Unknown,4.0,LAS VEGAS DMA (EST.)
941281,73.0,American Independent,European,nan,0-35k,2.0,RENO DMA (EST.)
274336,44.0,Republican,nan,Married,200k+,3.0,LAS VEGAS DMA (EST.)
14339,67.0,Democratic,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
179933,65.0,Republican,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
11866,64.0,Democratic,European,nan,35k-75k,1.0,LAS VEGAS DMA (EST.)
58953,60.0,Republican,European,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
796126,35.0,Non-Partisan,European,nan,Unknown,2.0,RENO DMA (EST.)
1064390,76.0,Republican,nan,Married,35k-75k,2.0,RENO DMA (EST.)
1072885,34.0,Non-Partisan,European,nan,200k+,2.0,RENO DMA (EST.)
1082391,72.0,Republican,European,Married,Unknown,4.0,SALT LAKE CITY DMA (EST.)
363704,65.0,Democratic,European,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
456756,55.0,Non-Partisan,European,nan,0-35k,1.0,LAS VEGAS DMA (EST.)
42840,61.0,Democratic,European,nan,0-35k,3.0,LAS VEGAS DMA (EST.)
799729,61.0,Republican,European,Married,35k-75k,2.0,SALT LAKE CITY DMA (EST.)
726283,55.0,Non-Partisan,Hispanic,Non-Traditional,75k-125k,3.0,LAS VEGAS DMA (EST.)
583915,74.0,Republican,European,Married,75k-125k,1.0,LAS VEGAS DMA (EST.)
168505,39.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
66912,57.0,Republican,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
662823,70.0,Republican,European,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
1019730,44.0,Republican,nan,nan,Unknown,2.0,RENO DMA (EST.)
132125,65.0,Democratic,European,nan,35k-75k,4.0,LAS VEGAS DMA (EST.)
600740,43.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
243999,67.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
61526,79.0,Republican,European,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
711608,67.0,Democratic,European,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
1099236,54.0,Republican,European,Married,75k-125k,2.0,RENO DMA (EST.)
260402,83.0,Non-Partisan,nan,nan,0-35k,4.0,LAS VEGAS DMA (EST.)
1023858,44.0,Democratic,European,nan,125k-200k,2.0,RENO DMA (EST.)
142804,35.0,Republican,European,Married,35k-75k,4.0,LAS VEGAS DMA (EST.)
747099,76.0,Democratic,Asian,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
739242,73.0,Non-Partisan,Hispanic,nan,75k-125k,3.0,LAS VEGAS DMA (EST.)
172373,53.0,Democratic,European,Married,75k-125k,4.0,LAS VEGAS DMA (EST.)
854958,66.0,Democratic,European,Married,0-35k,4.0,RENO DMA (EST.)
720210,53.0,Democratic,Other,Married,35k-75k,3.0,LAS VEGAS DMA (EST.)
1068845,63.0,Non-Partisan,nan,nan,Unknown,2.0,RENO DMA (EST.)
34894,81.0,Democratic,European,nan,35k-75k,3.0,LAS VEGAS DMA (EST.)
1030349,53.0,Republican,Hispanic,Non-Traditional,125k-200k,2.0,RENO DMA (EST.)
1012764,76.0,Democratic,European,Married,Unknown,2.0,RENO DMA (EST.)
945461,27.0,Democratic,European,nan,35k-75k,2.0,RENO DMA (EST.)
1072971,84.0,Republican,Asian,Married,35k-75k,2.0,RENO DMA (EST.)
1021885,48.0,Democratic,Hispanic,Married,Unknown,2.0,RENO DMA (EST.)
50902,36.0,Democratic,European,Married,75k-125k,3.0,LAS VEGAS DMA (EST.)
595403,37.0,Republican,Hispanic,nan,Unknown,3.0,LAS VEGAS DMA (EST.)
717194,59.0,Democratic,European,Married,125k-200k,3.0,LAS VEGAS DMA (EST.)
124045,42.0,Democratic,European,nan,125k-200k,4.0,LAS VEGAS DMA (EST.)
